,New (Shinjitai),Radical,English meaning,Readings,URLs
20,五,二,five,いつ,"['ANd9GcTaY2QMxPNb7TFli3qLd_JZGq14z_TdSluk6aL_NUxJ2EFcVoKlE-RNsuOrHg&s', 'ANd9GcTVCpCKf84mqryWPz80qtQ-AAtDIP4CTFaF0-JHkcMRGMA0Ar9MMHnDf7Y8ea4&s', 'ANd9GcStEJd5LWVCJHTeoGOIcNDK0SDfa6Xh03Rw9JGJf_Q7nBzVYMpraYnPdTbW7g&s', 'ANd9GcR89cOMHQq7ZyuiophFp-ZHKR7TGxTdQlS3R-5KrWunJKK61TQsGFyWJgKb3g&s', 'ANd9GcRJq4Qdt8_ZOdXEM3tpYS4jTHBp6T173c0mvswLeejrPI30RPTRrFscFMOxHw&s', 'ANd9GcRoaGFuGOCcweeDIGBVxAeFkWemvJGwLLBHDas5phpLr2jI-80eN9SQWsNMdQ&s', 'ANd9GcRJNuOkol4CHvO2XYwXDnCZ1n6MliZBq6RN2jzza9TB--kFa9F8l6VI-hax&s', 'ANd9GcT-qlMIY1yjSa8TC56em69uYUP2R6WfuoFLg4DsefEZNoETRiE7uwEOw5mt5x0&s']"
21,口,口,mouth,くち,"['ANd9GcQi3IMrTok1rxW3OgjHechDt4zVrtfNLhWVoxAvUsKaxjcNxGBOIkbGTpkRPKA&s', 'ANd9GcSG73w5Kmh0TuIH2HAnm797Np0IRjn_uFHWeSZQo-3-SmBXkEFPw3y2ok4ndg&s', 'ANd9GcRWJjRanA13sfs0qrvEkkZJOjNRziCkfngpuJo7dGB6TO8hZsyl0bfSbAVMasI&s', 'ANd9GcRqp_7-qnIZ52upYINZaUf3MQex7xK8NXGxzNVJTcMTmhB7PK2vwNEUoD6Bppw&s', 'ANd9GcS41SkgSoi1mczR7xtn2lfjR0uPjrIRGhgEwitVWnmCNzRsfo-rv0BVOQdjkkM&s', 'ANd9GcRcsUEZoUT9wp5H-xr_ircmZAKEijN3MfeqZpwlaWhSSSlYgK0sgReChMMVZok&s', 'ANd9GcS4sMrXZpDlCLMPQNxIVPTE9iA5DKmjc-HSbasqla1V72ptigPRsANYb8GjepY&s', 'ANd9GcSGzLb0Mx55Uv9nVWNsby4Hwx38hN_XlwFelcEm9avwlNiQpZCcMUe6p4OkZQ&s']"
22,校,木,school,コウ,"['ANd9GcQextswKM95IA1w3_B9-oa6ONZrrcSdzLInlLLI_jdBVALvLWTgH4w8N5C9A3Q&s', 'ANd9GcTN1ADQePRWRaOjUgU66_EZr7jnQi7O9V1cjsCv10zaH8ohw8i525Z1Req80cM&s', 'ANd9GcQBWNrg3Q6zIVXI1Cm-0dbPEpCGDHQnrOh8YiFYu4BmzwRQfA7x7_YDkziJWQ&s', 'ANd9GcRrgnhnhpMn1PaCcHVqOTM2_nnqDAJW94_URFquV3sNmAzUEE_t7cIoKIVQcQ&s', 'ANd9GcT1yYISK4QVhBj8jsyp2qnveFQZVPcjVdZrlsaFGAE-DiskiiN0UaexGSAtBMI&s', 'ANd9GcSd8l3M3jK0NwsZcd8gkijqXi9sVajevCGiGLN58ABgKknIQAMIKPjorKDC56I&s', 'ANd9GcQHoGho8051TyFajYNBS7MhxdHiTjT3jJucFhWxsr6desW54kpmJGieDSeZOdo&s', 'ANd9GcS7AxnyrMt9S2Y9uFrH5JpGH_E_AdPW1iXZHpsbmIbbQKvJVWIIpC1489b_Wg&s']"
23,左,工,left (direction),ひだり,"['ANd9GcRlAda07b9wn9dCitO0jmUXbLIXfUKa8hHTBqAaS217KBMb_FuRgLOtfVUOTQ&s', 'ANd9GcRQ-AE2FtIWOmTs-U46O1F3PhK4ddRStkp6EnLZf-n2MWnZfqB0Ku2rXxvqqg&s', 'ANd9GcRxJzYRrXfvb3OiKnxNy9J3qbpNt0s2Kj8Is1qmUxmAwsJrSnFTXq0w1sYDRsA&s', 'ANd9GcRjK2X_iaKMxyXSQ184zgYwoRP1vEWb24xnqZedZTpdHqPYazsXEwwviZcn51U&s', 'ANd9GcQWXLhWs8xInrfEKAKjU8OS9_awbQFHMBDOQQ_98Dw0E2Hjn5klEpcIbz9uIQ&s', 'ANd9GcRxjA-gC4g9w4Q0u5LwaTUExt8owzeWYT9JUPPmbRQ54eWslT13hE1UUi6-bw&s', 'ANd9GcQ3IQaAGDZ2OAfEYd5hSl3RwlptQ7z-n3VvUlFzJCYThkzx3kPjVpxtMD17n-4&s', 'ANd9GcRMP1GjLXAWu82WU0LB42m-mgUGZ5RBHO1WA-whu7O8Ya2UMkpioVX3qcdXEQ&s']"
24,三,一,three,み,"['ANd9GcRFXn4AZyVc1n_R-DnKQuqqD1q0glywtQaAHNEKrxCgOrxoKVE5CqlNeS-4yEI&s', 'ANd9GcRUYxhVleFFB--P_KZKIAFwrt5gRY5hHor3Z9Qcj0iisbOORD1onn0VuzfZLQ&s', 'ANd9GcQbOGFZE7CtyyIUBlSFCT2b5dyY2Mto2-zJ29VFjDnFRCGYe3UtGFBfs0D5zlg&s', 'ANd9GcSZ64UPncEgOcriqpH874C9AyWxRYWkFLon8XpOAxhzVNvgWM_Wr_8ycXFaIw&s', 'ANd9GcStAMxBf5UH_yioH4VwC8XyVRWNxG0coPxDePMuabHk1ONKpw1kVrCMYjoK6eo&s', 'ANd9GcRaCD81mgk3m-01i7DEVt-NVbEC28awSxrZDWd7U-9OifZH9aORKgaGN6xCKyA&s', 'ANd9GcSvBSS8a3s8zIO-9c39j5PJlp5TDm5tyHrgqnf1G8B0x9c-NI52PH0KFTO4brM&s', 'ANd9GcQiqAKnnEYcWYZqkMNfGrWqBQcYfAIFnAH0-Ag8NhYFecAiKp-fnPf7fA1hng&s']"
25,山,山,mountain,やま,"['ANd9GcTbenvtCE3vXvg6-AWfL0mGCMauQm-2cRfbw_kYkWj893FV6idxZdPudyp-3ks&s', 'ANd9GcQbg9Oy-7hvicomphzjzeXuJexBwcvtTQ_VmvpWlXWkwbVPcOxEiAm1MIk5m_4&s', 'ANd9GcQx-qsy0PsHNwSSw2u9KtiZB9oKctx8feeNJMbo86V3CnOvYZVff2LA3iyHNc4&s', 'ANd9GcQEZYpHYzyfTHXG-m3JkcTJZ65VMIbla8_Rf5yKQQb0RJwIBCdQedyzOa40bg&s', 'ANd9GcQGNiiL07fAfKfDPmsjKtZhPOzOeQJd2gQaTR_y1_29r4t7bQmSIccxywRo0-M&s', 'ANd9GcQ2FlIm1RnwdxyV-isUedlv4Px88KKc7YLEMMIkfbfL1DYrE6hukVmsDvwJZc8&s', 'ANd9GcQMt3FkKzSTsraa59-KAw-rQJu46gUQFd-0SghQqY0S-0yKwZXfrizCgHdkmjI&s', 'ANd9GcR-cT5RDCY9zLqhHo8AHRFYIEHMDYM81B8zUHuzinIjZ-DdBBFWajK5kSu1oIA&s']"
26,子,子,child,こ,"['ANd9GcT4UamAZZMKk7XkuCA4G0ThSmqK1TjBVYwq4zR1-KxF5y7xZsoq60hwGKc2Mg&s', 'ANd9GcR6CKNwntw5yiyfFogGvN3Jsp8KF7o6DZqi1IVmU4599xWkL0DcoLb4oRdSyw&s', 'ANd9GcQV6N1ERHnRQx4L2MMNAGIYI3nC4X2mTmQTPJV73pyZK__OnMTSBviN81RoIzw&s', 'ANd9GcRigQlc78GJ3GH0gyJC5gdja14YsDFz6c3HhjUbiFuE4W8RBQdq9YDgosbMBi4&s', 'ANd9GcQh3zRwE7euUSHY0aXsSSHiLLt-u8sC77lOx9Z_8q_YBFmcFapo8un-mPBTXKU&s', 'ANd9GcQx4YQmqUN8H5bFOkAoklPc_zHDCnO_TsoJIp37pWHi3ebfuwJIKGOz_lITqg&s', 'ANd9GcQHO9c3Xmyk_5u5FbiNDXuEpSEKn9VCiKcJJqupaLDUU6Ux1CSD9x-Z5_vJTak&s', 'ANd9GcTsSxDhD5t0_JBTNgzscLITzbA3IWBL0ofKnsrf3zxhfmzMpUDg0PZk5uNFSLM&s']"
27,四,囗,four,よ,"['ANd9GcRucdyXPtkiTgCoK7tLBRZz_8ETa5edTP5s0rKbgCaV4qJ-_5iPkPC_BpmEXyc&s', 'ANd9GcR88CB0EWRqoMYmi3etP647RGP4S8PQM2OtUelta4lnb499JUwCCNju5heANss&s', 'ANd9GcRt_JbwVRLYmrLEntBa59L2YW4KeRinPeEupIIdss2b9wf6snymXu0C3ng-dKg&s', 'ANd9GcQ-zxlRWzCkC0J_abEaquTuLEfioteWnOwoUEmNFyWRZ9CWHjZg_J69sOaliQ&s', 'ANd9GcR-BIeSYH1gUzzKfBP9z4eNVhdE1btTWZnWjA5PZXw9UBJgSG5pL_F1kxH0RWY&s', 'ANd9GcR4R0BAlG21g6vNAQpKdtf8FTzHUBvINzft8geiK0eu4KSQ7eZDMKHVoGyeZvc&s', 'ANd9GcQHlt_3FGY_Ke4S30QcRNeTO9fgjL2NnV5xDLdQkq8MhSv-nXIaEIeEedayuCs&s', 'ANd9GcRpvm-Uo-CmZQmGl6v9hjQMp95nB8xuiFNm0NAe_0HXOmGyhKTE_nLAOIeLUQ&s']"
28,糸,糸,thread,いと,"['ANd9GcRG1gCBdQ7vRwoTSYxf7wjUXHXs9GCgS4h0EA6Ci0_dD1ELEkSsNUBiNf2W&s', 'ANd9GcSiegsKaNpXrQaa8uvK-aaJG-2LRn_XjtXNVBuFU_NgL6ZJfr9N3LWzQWFHTA&s', 'ANd9GcR6cD1Czfg9i3sRhAI-IRl-WeGhmchrHvAAHMmOLoGrk_zx_bQgN8m4QLkQXg&s', 'ANd9GcSKR7GMxaALIRmXFV9YWPWk0EScWimqK28n7Gbj1ZEg--8GAtlVBL2SsUUaSA&s', 'ANd9GcRJHhavQxEzqsTuIKSm9TGbqgbx1SsLa2tZ8IwTYrXuxklNXQgFNuZis1RUGw&s', 'ANd9GcQASWRtUkhyOLIFWai-jTFARybp97wHafEWgp_TY0IAQAj5lC9IYM8vG7KSXg&s', 'ANd9GcT2SbtSO7MCQLCMrEyuUWtgCvhMLGWPJuoXc4tr5pv5ZhZSVXhvz5_GJ065gg&s', 'ANd9GcROVuo5fu2_NWUh44ohHF9kgStyAnn9cFnA_2Z6Ow3i39QubyG0JFMO6sG6024&s']"
29,字,子,letter,あざ,"['ANd9GcT9Re68NZQyih8hcM6ILAujg4_0zFlnif5-VkG2HKWdNI9IS5SpQsXnNtZ_bQ&s', 'ANd9GcRHn5mQMpKKz2jkPmFP6EXjDFzWzP2MVxE2RDs1F-UCP4mVTIiizrEbKvvVfQ&s', 'ANd9GcRaRPGwmAqlmuOaqLrne9CnUS3UbwHPKEwE__IXveNqVqlkVp5v9uhfv2D_aQ&s', 'ANd9GcSrog-3CbBHNC1lhRHCSb5xMc1TlPpNOMTFxGSXoZZM5q9fzP5DKpDnko4vG6A&s', 'ANd9GcRfIgoDr_u58JlPEJdKyrUU5dKENCjhrxb6RLd7ihXjtaEVG5D4815RFXvZ6Q&s', 'ANd9GcRYinE1gRKBh40BqKRpcZ6XduEangnQWX_cLTsPlsLAxQfPiYT_IsdisoIiObQ&s', 'ANd9GcTqhiJDqAJL0bOyewOytmeN-jx0HlU5lmfARsgrdoJroVG-aUd2YiW7NnB_F6w&s', 'ANd9GcQlCsGjSc2Et9CyeHCJ0RZEFp1bnaVGyP3jvk-Zyh8IuMh0aWztk2TYJPNTHQ&s']"
30,耳,耳,ear,みみ,"['ANd9GcTUEg0VP7GVtIALQcigiXaJS1W_RAlWLd0ZqpdmxsJ_NS9KE8CW9WTsPWCTsQ&s', 'ANd9GcTdlW9Ghx0kRMRBI24VYJTPFh8mJYo4LSGPpgZ1hNmz-nL4YMmZCjnssWXETA&s', 'ANd9GcRZDKEbQ4zxPTdMmbrlHu_KZE8iVmbO5UvKjjyCbfZRrWJzSTXHulYiUVRfy9w&s', 'ANd9GcS29gdq90loaA-Ks3umV6LdYyvKM2ff6FPL4VyPlZBY8_DbeA25N6QgEpnTMg&s', 'ANd9GcRczJ2Mo2Nt6ETRgaxAtBfvXCO68S3q2UjJY4ngHsnCEY1vXPUvDsS3GBRv4w&s', 'ANd9GcTfPT4G2Bp3llzKe8xXpjziQa9O6dm7th4bYjPafB6WxrmssiV90146gziYavw&s', 'ANd9GcTqsHzrwo85_jeIc8C_ksVgMEgHBAzKR8B-rRFOUPzSED_-3FSqCxFCa3Jq-g&s', 'ANd9GcRfkvJhkLbeGDETU0plMTuxRsCdI9leO8i1Bi43C2KTGNaLezvJcYUSsQjIOnQ&s']"
31,七,一,seven,なな,"['ANd9GcSmIMCSCuWpzSJQmEfDAKDG4pyYlpOAB2mXZ232y0IDSRDVfZA-MyQCKKHA3x0&s', 'ANd9GcRKUs9gjiEDP9hdtlyKaCfnRyUGwrHshITjMAVbVotC_rDkvvSqRCXqol29RQE&s', 'ANd9GcSCE_w2nBXPCuR5tK3pKV3Ja9ztR3lelmf85n_fMEikHGGYjhhfXPq7V822sg&s', 'ANd9GcRQbnTL93DXCBo8aNoB1gPpeKuRt7a08DqBA8jxXO_C-T303IoZTWwqsuOsbaY&s', 'ANd9GcQJaVI4E1oIxGadDaHGxa9YgBT6TbHzVYnnHbwf9PWY3LHVx4yj0frspTDDfmg&s', 'ANd9GcTdK6yig2KXj65BHZudteXozUQU77IUxXcWnbTCvcasvxM8AN4NneA1FenpX_M&s', 'ANd9GcRYgRcT5u6eoMh7ZQLq5Kve2am3nndKdlD1K612KHh5121YXfI9a8IfOZJ0tg&s', 'ANd9GcTOeF2Fhtx1eE93ggTbRq5nIMrW-a_FTlSnZUEl2ICiyRFjsHAeZFtp0Yn9hg&s']"
32,車,車,car,くるま,"['ANd9GcQSdkDtI__LgWSG--VP5rCWWrIXxuVcKiWA7jTLLnVZaNI0bWzNMdAhsax79xs&s', 'ANd9GcTjazWkz4sU0x9wYo0PwkpUXW9l5swXkw1UaPQ4l-yc5e9q1Pn2pzUFgHR6Vy4&s', 'ANd9GcS6S4Mm_chONXRY5ou-PRuT6wXVPzWl4sSD8ELfCmAW49q0tP4jYxF74YfdWSU&s', 'ANd9GcSJRGqAcEnioF5gL4jGvLYx8HpfmghUFhhLWM2gaVlTpLWznBjjR9VCyzCQPw&s', 'ANd9GcTGy1sW3_6dCOLZKVJPOr2ExkhPhZ1F-Xb24O-u8rMJou4LLWvc8vnaI6iUDw&s', 'ANd9GcTjJWMZMs540nnfcUa9q1zakhGBupz1XiKzVCiCPJjfjEb1MU81qQIJzRKi4A&s', 'ANd9GcTyvhufzO7PwolsaLw_tmfwiq94am2TGC6c3I8iOMv_PifmrnETMd2K2faoB6M&s', 'ANd9GcTc7ldZwre0mb0QNHWjY0QYNo6FSfM5G0aJ0ENzXNLMkw-ZtY-1tgqPKUqlYw&s']"
33,手,手,hand,て,"['ANd9GcSd36C5x_loafnujDq0gS5e6lj_QuFEIHj8CqhwWUuaHuWkbv0IQ4bx0z_IGaE&s', 'ANd9GcR0y5zIKcbAY965BPY-UShLhUPZsHXuzFSkUn9IM9veB-iWlHMiPdR_4PtoRqg&s', 'ANd9GcR160K3q5Avs5-cj0yZUOONfmKJ1tWD-g1xbEtcHV2bBST7SgmUqRlMIbf-kg&s', 'ANd9GcRmeZ6_EvJ4Sz22t2zJHkF8CdfDoFC6_7twh7q2kD_wTY02LPK8Rsn90PZSyws&s', 'ANd9GcSfcSpXzSDMyGcIYbcYdxLTeRwrTxALhYHmayoESBnpX59ZYo8Fbs3aSzNEUQ&s', 'ANd9GcRKMemoVX3YBbLw76ewqHJ_hRZVv0rvtsGNfqa4NaJMSVEoAAkIGVEffRTaA18&s', 'ANd9GcRJ-7ejFL7yNMhFsl2I3MuFU1Uzi4Ni_f6TGSgv1EznXtrRVh24TvNE8FgcB8E&s', 'ANd9GcRB036JHy0WF1bnVaeZpdOnE28KpZ6ZPXCNYjxsnwS5ZY4HjqeqEeoprY0lpKE&s']"
34,十,十,ten,とお,"['ANd9GcRnUFagSG-MEPs6xAlKNQpB0v2PdGSkPX3yhQozQYESnmP4tkEqiPC1FMwyhhA&s', 'ANd9GcR97eJHfrC8IcbDVpcvD5M6kOWo-jfCZI7XuVZ6ax3O7zHE-IuMtvVtaxtrVQ&s', 'ANd9GcSzZ6v94QZPe6Ah5o205DtGArCYhBRo_e1q2o_8Xea2gsOpllb2mJ-A0olHCw&s', 'ANd9GcRbA-2SBDJr6J7YlWRMpM-AJDt-OwNZza8sq8UB6jF8O2hbFTJOc3MXJi_odw&s', 'ANd9GcTqr3AV4V9JUqKh34GtzlSLlhkSjMxNXCyka1Bje9_f9CBXlMmiT68nY-hQ2FI&s', 'ANd9GcRJNuOkol4CHvO2XYwXDnCZ1n6MliZBq6RN2jzza9TB--kFa9F8l6VI-hax&s', 'ANd9GcQVgni-vvzDQgcq3N28Wnwo-09ipFZcysNb_r3pBjVoeg6Tgbw-CdR6XYbRWQY&s', 'ANd9GcSiE3Wy21yGFMWEq8d_X0c64cK2bNRfzXqBYhQssHDouX-gU-2MYcUw1y9srBc&s']"
35,出,凵,exit,で-る,"['ANd9GcTGT07DaR_YLwR3x4i2ObZ3snw28qt3F4g_I2a7KzpW2y64Q6S9QSWtKqby_g&s', 'ANd9GcSVoMCQkRkc3pMb9Z1r9IDwct_4YyeQNZoOrEveCERG5swBJh2nTjuDb5L8bhA&s', 'ANd9GcRliwNtLocE41LnK94B2fEJ3Y3zWS1y7s7dDl4NFPUkgryfpVuNIZTrFNhLUA&s', 'ANd9GcRsdThls1Ahhi8wNO53UZV4RWGxj-aKaK5caKdtwQ7DMUzoP5Pu4CCPDhvWQg&s', 'ANd9GcS-rwrjLbYXOj4N4XwlrzT-Jel4WLuipCgl6kpMRg2Xe0qD9rChkyKRJDiNAg&s', 'ANd9GcSZDimsS5EMSVUEi_dT8OJxmUbx6X-tKgsKLRmLvEnIROnBABOS4MWdoUE7pg&s', 'ANd9GcTKr4TvWKw36n3Dsvk3haKVygOAnC50Qcs1SZobK-d-O1eDv2V4j-16U0rjeQ&s', 'ANd9GcQyA5_3X2W8aiMjJYU8q1-N5V8v-oJHhmeNlIr7N_way6AcSYcfkCsAfwNeWg&s']"
36,女,女,woman,おんな,"['ANd9GcREVCET5HZ1uhxhHhK02ZHNS9srLuEZU8OpY4cSyrUEZwC10VDWBN2f9Fx1GQE&s', 'ANd9GcSTwIWIAZbmPRU4PKuxV3vZo2tey6NT97G7TfDIXbJV0wBTSqtMyxj4FtkjOYM&s', 'ANd9GcSDZHQROhtk48MaldDH_FRU6qxUKAY8DVLLdc5XueO9dWWaWo7Hu5krLrSzBQ&s', 'ANd9GcS6nN0-VhDoyhPqeM4BIc6k-p2dkYIDWuE-RtKWY-7Erc0KhVQaLLhGQma8auo&s', 'ANd9GcTh9JlJ80VcVZxPJQ8UUwlkH3CBoOTauppLhsfRO571055oGBwGJJZ8IgGjiA&s', 'ANd9GcSW4vw7wAXPl48xRP9E8Vz4I8Q6YUHc-Ih7x8tGTaUTyXZO8rBi9tl6eZe6JA&s', 'ANd9GcTsddkm43e9BwSCO3jkeQPIkDLl7r5pVaPcwoRGD8gZVuQJLzGZmiMykiaDf1k&s', 'ANd9GcR4KNnoC3_nOpclrNmLztY7kagxnUIJU0KpntWIiR25Vqr2Y8QOmPUW1rnNmT4&s']"
37,小,小,small,ちい-さい,"['ANd9GcSEPpUWkMmJKB5yJ-pCi7CHmtQizDyQYOFG9pKhgHuIb826nU4yTie3TAJfVI8&s', 'ANd9GcQ4Y2Y2eBXQs9FAjqi8gUuLimEjgKZl6Nq0dJtGiGLeFYcXs5f0NCZ19RFmOw&s', 'ANd9GcSlLGlAUEkzCXlG6Vmt9bthUqZOsbUccv4W2X7rGHlYOefj4atG2OWEexLmIkc&s', 'ANd9GcRRCE4XQymTHfNsUkuvHbf2KDf0XzOePaSLjeoB6Cobk0EC3z68nX1-XvLUlQ&s', 'ANd9GcSOJYCKi00je1bmrr8yPih3hBm2bpTEaNX9HgiS_n0oUAHxqQjeDqBDSf7AZRY&s', 'ANd9GcRYlNi-pA5yWNq3D6MUTuHqLHtQ_BtoLrznW8JsPYFLUDrUBFY9z7eFbEE84Q&s', 'ANd9GcRUXoCJ_iZnmMi3Xw92REDlFLLWwW-bIEh0I-jXxfTifBKSFAlt0kPZm3ES6A&s', 'ANd9GcT6gkR-MNmzSjkcdy2htWpxxDV0CBhtvp4Y9bwT08mBJk4OSPCZacu_bhPKCw&s']"
38,上,一,up,うえ,"['ANd9GcQqSpKh56AbpILV-p9PqlPlDZUJFpjfoPqMQ7XS-udJOR-Dbn7YLYiy1gxh8DQ&s', 'ANd9GcSqD8uhkrocuxwEI4KJYg8k_0k31cVa-hhwTu29OfEj3CUbN-lOffU2QDzhSgw&s', 'ANd9GcSEuaD3-OhH6ohWGWWX_mduUU1tG65gDMtiyE_Fl92hvQ8tNLN4DOUHBAA90r0&s', 'ANd9GcQcYrkurKpHgPAb3RlmOdVV7ag54bfYb33QgazOoFClniSvaK21odl5u0NP6_s&s', 'ANd9GcTpnpZj2wD8bXOXl1zJFfMXRjO6h0k78oFKCpab_bkYFwjUUrE9WtKHuMCBTco&s', 'ANd9GcS5mDhxcPVo9ZL4cJwaPy4l4bdAauRkWw2NG2ci_yCpJsP4r9ZYxwUzuWCSth4&s', 'ANd9GcSklfI25-sD0bHhcJmjrpNAqc82-9IPn49cghFh2ZkBdsEgGc-9co4rs83o2F4&s', 'ANd9GcQEGcU3wNSY4UsAUxpUIdkp4JuMW55tO7ZWUtxgJUp34YCdGb5C0zWskwco0g&s']"
39,森,木,forest,もり,"['ANd9GcQT2PHerF-iWYQHOYPTa5JBQKLMBBYkOYHkyMaRX08ImPBTBby4LBimP2VJcoA&s', 'ANd9GcQCu8D1I9L0XbpP2CVb6lXbRrYDb5BqPD3ANNJS754JombEjZD7Y64ATQopgQ&s', 'ANd9GcTF2J9KBkmlhpEI3Z9D02qq6YQvumC07wVyqKMYnlc3Y9ssiHajRm8maaICHw&s', 'ANd9GcSAVkLyORmtDjKa0awAS4yWRA0OGmTeKZOqimn0GxJeaMWEJwG4dSrEdhuz0TY&s', 'ANd9GcT6U_Szkurs4wn4OUkjtoFDHtrVmPBVNXz0hM-dedgmARYiqOFK2GwWF6e1JOE&s', 'ANd9GcQ8f7oH9y68Snw57WYUbYfg17ktLrLpndhr3LzDh_pDOfMDpgrOvhSEnyZdfQ&s', 'ANd9GcR8m-UtHclv2Q5SnWysjjk0Mw0nKK7FFzAsUww8L6vc_IgVygBWvq21WIJEZyQ&s', 'ANd9GcR9Cg7r4d1EdZ7IZJtgCbrh3PjLkutm63txGr3rL4KOVJhu5B29JDNMxVKSFA&s']"
40,人,人,person,ひと,"['ANd9GcTlMJTRdHFytDUj6bThI-zW9dPIlXn9S-wuLVvLC6TbgLLHUP0hPN6eBWzpIw&s', 'ANd9GcSW2Pkqpfrz2gYKkdFk2ncxCTBNIUC9yOUW8hq0xIc2BQUVaSbN9USJC_7llQ&s', 'ANd9GcQwyFDi5I2yygx0J3e-e2XLZIe7vNhu82gvKcFzuVcRgJ9LxbgQIxLGIvSB_k4&s', 'ANd9GcTZrlKsMXjgTGXxSDPoRziSIGdfcx5ghe9efa0ay5QsEui1OsuSF4zkQfFzqg&s', 'ANd9GcRnMxKvaSQJWEBckO-knKbpRzvDoEYwRS0_qD3dH-uiGb7SrsMuJ_zGd6IxoD0&s', 'ANd9GcQoekl1n6ZetARLxZTTc2faOTl9Bea3NTEmWPbVI8WMd6yqrsOEwg9l5hshkq0&s', 'ANd9GcRzNpaeYmWiJgZGogEmtqP6RuaVCkr_YMSqFvS5DEnCQkPph4GqKdj6gqBDhp0&s', 'ANd9GcRy-XKjsQSoO_B46oCVLQQvPSBCctQNU7X1q5u3og1raKQG-ilOdtVShKRZ0e8&s']"
41,水,水,water,みず,"['ANd9GcTsGSGYinVgEKJXV4vJo04ln_ME-nZ2LiCl-fOxh-7EKvMjoZ3AdbyhYmWjFA&s', 'ANd9GcSL6WsAjhPtwytH1G7jhOENACPNUAJf-hN9go_N5yAxmhqc80EfjcDQSEoey5w&s', 'ANd9GcTqFuBbeEGnjJRAUWhBMO1JCONNaA3rh7mtBbLXXFxPeUL1cZinRAMvQEYZ&s', 'ANd9GcRA_4NytMd77juQCVTd9NpNKa5LwYQ6caKERofdqpz4eeoPC2b8W3MyFkcrng&s', 'ANd9GcRP15pw7vto9OafEJ3-C_oTMjeoROi_u5d-0I-PIyY3NSfDYEkn6yI7b4oWWCo&s', 'ANd9GcRb3FSgHMj9-rPiKlTllIPZnYN_a_pNyBZqE3ulrnUgDOwKjz4BdqoCQCuuJKs&s', 'ANd9GcTLCQ0ekKv7hpxeHK7oybRAUrx5DZ0IXBzWhnShleLL9ki-CwwbqMk1_p9sXA&s', 'ANd9GcRPraOSdeU5KIYpbiNh8iEjqR9NSwk9VnWlFBgXqPWlF6_gcuqgI6hA7hqlCA&s']"
42,正,止,correct,ただ-しい,"['ANd9GcQ7gjzYPpBx0x3cZc8-ZHqcZjsBjGVU0Rf_DhYR8c99WNmkxTc-lSjFtMxR46o&s', 'ANd9GcT5tjvyD5rnij76ssnzyKN-4JzBcqABUPJSSgiJu4YSggbsi7uhCNYtw1QXIyY&s', 'ANd9GcT_B_DG6qoKRdXuRZqdC_7HU5wBxwqqz-7yusowjMzcBi_Rnjp-HY_cdBo-45M&s', 'ANd9GcSA86nRXevT4FQ03trpXlIbV-EHHwdKh27qgLNWPYeyeeWfpK89I3oxmgy9mSE&s', 'ANd9GcTwbPxIlP8Vyzmn7dsWXuXnLvKkd7uhLIM64j6tChPUykuulhIown29TOf90K8&s', 'ANd9GcQngTXYBCXXvuWK-4tnLDEDzKW2zf8ifCQJskohdQw3UtBkOW0NcY-mybZW9_g&s', 'ANd9GcTawjCCrkMaGSa0cpiqDFdG4xuZA43ftxo4cmuQ-sZjDIvUUbqJNr4OA1ePeA&s', 'ANd9GcRTJWYWuBlKFjUEAa_VgKi-Iq05rYc8WgG-Z_buvXvRsbSX2VDshoAOAlRPqQ&s']"
43,生,生,life,い-きる,"['ANd9GcQ1HXj5CKpo1FtI8GJE-eH8ynGx4w-wX8WPv8jXslESE1rIMwoSTk2d1htueQ&s', 'ANd9GcT41gk-jcVMrKf2ZwtQSBLtD6_6f-9pOV5yA48aVSZof8rVwqiTuRuk8azoCFc&s', 'ANd9GcRt1x1fDgAL6nG-aPTMc29dv28OWOfqmIDPwv8y0ZnONMWXe4VnO53ImB40Ubw&s', 'ANd9GcTjJwnOYMGBM1ZKQqpOiHHiGPhU17IIuIC41dEHnT5YuBLpp-zMlosRc9XwIw&s', 'ANd9GcQ3FMhq5zkzlYspm6_M86HMD-078Fo-zXWjFfvbiB6qp312NeD55AIOwbrklA&s', 'ANd9GcSPVg5qXE7YvfJ08WxXBvZBDRTftvw6KtgFU4gdtF0Se9zr2cL-sK64FlE1I1I&s', 'ANd9GcSHoKGJy3f05S6-FlxqyCW_dY9SgrI92fnClLmCq9WE46eW9PIgSEsfkc1c7w&s', 'ANd9GcRTdRNkcXiBZ0ry5Fne3B2uIhRevlptNO5ATRfGILhgul2XWVTCE2RBxOGdZA&s']"
